id,target
matbench_000000,1.3321999999999998
matbench_000001,0.0
matbench_000002,0.0
matbench_000003,0.4112999999999998
matbench_000004,0.3513999999999999
matbench_000005,0.0
matbench_000006,0.0
matbench_000007,0.0
matbench_000008,0.0
matbench_000009,3.5902
matbench_000010,0.0
matbench_000011,0.0
matbench_000012,0.0
matbench_000013,0.0
matbench_000014,0.0
matbench_000015,0.0
matbench_000016,0.0
matbench_000017,0.0
matbench_000018,0.0
matbench_000019,0.0
matbench_000020,0.0
matbench_000021,0.0
matbench_000022,0.0
matbench_000023,0.0
matbench_000024,0.0
matbench_000025,0.0
matbench_000026,0.0
matbench_000027,0.0
matbench_000028,0.0
matbench_000029,0.0
matbench_000030,0.0
matbench_000031,0.0
matbench_000032,2.1132
matbench_000033,2.8937000000000004
matbench_000034,0.0
matbench_000035,0.0
matbench_000036,0.0
matbench_000037,1.8533
matbench_000038,1.9429
matbench_000039,0.9231999999999996
matbench_000040,2.1694000000000004
matbench_000041,0.0
matbench_000042,0.0
matbench_000043,0.0
matbench_000044,2.9288000000000003
matbench_000045,0.0
matbench_000046,2.7282
matbench_000047,0.0
matbench_000048,0.3771
matbench_000049,2.2267
matbench_000050,0.0041999999999999
matbench_000051,0.2403999999999999
matbench_000052,0.0
matbench_000053,1.9165
matbench_000054,0.0832999999999999
matbench_000055,0.2440999999999995
matbench_000056,0.0
matbench_000057,0.4849999999999999
matbench_000058,0.0
matbench_000059,0.0141999999999997
matbench_000060,2.1391
matbench_000061,0.0
matbench_000062,1.4213999999999998
matbench_000063,0.0
matbench_000064,0.0
matbench_000065,0.0
matbench_000066,0.0
matbench_000067,1.3269
matbench_000068,0.0588999999999999
matbench_000069,0.0601000000000002
matbench_000070,0.5375000000000001
matbench_000071,0.0
matbench_000072,0.0
matbench_000073,0.0
matbench_000074,0.0
matbench_000075,0.0
matbench_000076,0.0
matbench_000077,0.0
matbench_000078,0.0
matbench_000079,0.7122000000000002
matbench_000080,0.0
matbench_000081,0.0
matbench_000082,0.9913999999999996
matbench_000083,0.2871999999999994
matbench_000084,3.4895000000000005
matbench_000085,0.0
matbench_000086,0.0
matbench_000087,0.0
matbench_000088,0.0
matbench_000089,3.6165
matbench_000090,0.0
matbench_000091,1.5228
matbench_000092,1.5764999999999998
matbench_000093,0.0
matbench_000094,1.5725
matbench_000095,0.5952999999999999
matbench_000096,3.0671
matbench_000097,0.0
matbench_000098,0.0
matbench_000099,0.0
matbench_000100,0.0958999999999998
matbench_000101,0.0
matbench_000102,0.0
matbench_000103,0.8201
matbench_000104,1.5941999999999998
matbench_000105,4.7915
matbench_000106,0.1485
matbench_000107,0.0
matbench_000108,0.3914999999999999
matbench_000109,2.5108
matbench_000110,0.0
matbench_000111,0.0
matbench_000112,0.0
matbench_000113,0.0
matbench_000114,0.0
matbench_000115,0.0
matbench_000116,0.0
matbench_000117,0.0
matbench_000118,0.0
matbench_000119,0.0
matbench_000120,0.0
matbench_000121,0.0
matbench_000122,0.0
matbench_000123,0.0
matbench_000124,0.0
matbench_000125,0.1876
matbench_000126,0.789
matbench_000127,0.0
matbench_000128,0.0
matbench_000129,0.0421
matbench_000130,0.0
matbench_000131,0.1419
matbench_000132,0.0
matbench_000133,1.303
matbench_000134,0.0985
matbench_000135,0.3866
matbench_000136,2.8242000000000003
matbench_000137,0.1873
matbench_000138,1.2746
matbench_000139,1.0911
matbench_000140,0.0026999999999999
matbench_000141,2.514
matbench_000142,3.0914
matbench_000143,0.0
matbench_000144,2.008
matbench_000145,0.0
matbench_000146,1.1816999999999998
matbench_000147,0.0
matbench_000148,3.4231000000000003
matbench_000149,0.0
matbench_000150,3.7151
matbench_000151,1.7011
matbench_000152,2.8828
matbench_000153,0.0
matbench_000154,0.0
matbench_000155,0.3021
matbench_000156,1.0147
matbench_000157,0.9989
matbench_000158,3.4286000000000003
matbench_000159,0.0
matbench_000160,2.3364000000000003
matbench_000161,3.549
matbench_000162,0.0
matbench_000163,0.1670000000000002
matbench_000164,0.0
matbench_000165,0.0
matbench_000166,0.0
matbench_000167,0.0
matbench_000168,0.0
matbench_000169,0.0
matbench_000170,0.0
matbench_000171,0.0
matbench_000172,0.0
matbench_000173,0.2305
matbench_000174,0.0
matbench_000175,0.0
matbench_000176,0.9844999999999996
matbench_000177,0.0
matbench_000178,0.0
matbench_000179,0.0
matbench_000180,0.0
matbench_000181,0.8782999999999999
matbench_000182,3.2703
matbench_000183,0.0
matbench_000184,3.4286
matbench_000185,0.0
matbench_000186,0.1590999999999995
matbench_000187,1.5271
matbench_000188,0.1284
matbench_000189,0.0
matbench_000190,0.0
matbench_000191,0.0
matbench_000192,0.0
matbench_000193,0.0
matbench_000194,0.0
matbench_000195,0.0
matbench_000196,1.2724000000000002
matbench_000197,0.0
matbench_000198,0.5643000000000002
matbench_000199,0.0
matbench_000200,0.0228000000000001
matbench_000201,3.6061
matbench_000202,3.2767
matbench_000203,5.4604
matbench_000204,3.8593
matbench_000205,0.0340000000000002
matbench_000206,0.0
matbench_000207,1.1783
matbench_000208,0.0
matbench_000209,0.0
matbench_000210,4.8294
matbench_000211,3.5575
matbench_000212,1.7194999999999996
matbench_000213,2.2797
matbench_000214,2.609
matbench_000215,3.2977
matbench_000216,1.8731
matbench_000217,1.9649
matbench_000218,4.1531
matbench_000219,2.1874
matbench_000220,0.0
matbench_000221,0.4379999999999997
matbench_000222,0.0
matbench_000223,0.0239
matbench_000224,0.0
matbench_000225,0.0
matbench_000226,0.4892000000000003
matbench_000227,5.8787
matbench_000228,0.0
matbench_000229,2.7221
matbench_000230,2.0363
matbench_000231,0.0
matbench_000232,0.0
matbench_000233,0.0
matbench_000234,0.8952
matbench_000235,0.2600999999999998
matbench_000236,0.0
matbench_000237,0.0
matbench_000238,0.0
matbench_000239,1.3297999999999996
matbench_000240,0.0
matbench_000241,0.0
matbench_000242,0.0
matbench_000243,0.0
matbench_000244,0.0
matbench_000245,0.0
matbench_000246,0.3385000000000007
matbench_000247,0.0
matbench_000248,0.0
matbench_000249,0.0
matbench_000250,0.0
matbench_000251,0.8056999999999999
matbench_000252,1.6229
